SL-M01,,,,,
Lot,Pcs,Stone.wt,No Of Pcs,Metal Wt.,
9159,39,20.8,39,97.2,104
9194,116,48.8,116,300.2,244
9175,121,65.4,121,301.6,327
9159,76,41.1,76,182.9,205.5
9194,126,53,126,328,265
9175,81,44.2,81,195.8,221
8775,48,22.1,48,118.9,110.5
2467,40,21.9,40,100.1,109.5
9177,46,23.8,46,113.2,119
9176,48,24.9,48,116.1,124.5
9151,88,43.2,88,212.8,216
9233,68,41.6,68,169.4,208
8156,68,37.6,68,160.4,188
9159,58,31.1,58,142.9,155.5
9102,48,29.7,48,120.3,148.5
8179,48,25.1,48,116.9,125.5
8490,47,24.7,47,114.3,123.5
4822,10,5.3,10,23.7,26.5
3529,30,16,30,73,80
5296,48,23.8,48,116.2,119
9167,26,5,26,51,25
9164,26,5,26,51,25
9165,26,4.6,26,51.4,23
9168,26,5,26,52,25
9163,26,4.8,26,50.2,24
9166,26,4.8,26,51.2,24
9169,26,5.2,26,49.8,26
9204,15,18.8,30,29.2,94
9221,52,9.2,52,73.8,46
6176,26,25.2,26,56.8,126
9205,55,69.2,110,112.8,346
9220,15,2.8,15,20.2,14
6859,26,50.5,26,50.5,252.5
END,,,,,
